Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp_C,Label
2026-08-21 11:11:36.344,0.1,-0.56,10.7,-5.44,2.21,-1.08,37.89,NON_CRASH
2026-08-21 11:11:36.354,0.07,-0.57,10.69,-5.21,2.2,-1.27,37.94,NON_CRASH
2026-08-21 11:11:36.364,0.09,-0.5,10.75,-5.24,2.19,-1.23,37.89,NON_CRASH
2026-08-21 11:11:36.374,0.1,-0.51,10.65,-5.18,2.29,-1.15,37.89,NON_CRASH
2026-08-21 11:11:36.384,0.13,-0.56,10.67,-5.29,2.45,-1.17,37.85,NON_CRASH
2026-08-21 11:11:36.394,0.09,-0.56,10.72,-5.41,2.24,-1.08,37.89,NON_CRASH
2026-08-21 11:11:36.404,0.09,-0.56,10.71,-5.45,2.27,-1.32,37.85,NON_CRASH
2026-08-21 11:11:36.414,0.16,-0.6,10.68,-5.22,2.47,-1.23,37.85,NON_CRASH
2026-08-21 11:11:36.424,0.05,-0.62,10.72,-5.21,2.33,-1.32,37.89,NON_CRASH
2026-08-21 11:11:36.434,0.08,-0.51,10.6,-5.31,2.3,-1.14,37.85,NON_CRASH
2026-08-21 11:11:36.444,0.11,-0.46,10.71,-5.4,2.23,-1.2,37.85,NON_CRASH
2026-08-21 11:11:36.454,0.16,-0.49,10.67,-5.23,2.4,-1.19,37.85,NON_CRASH
2026-08-21 11:11:36.464,0.13,-0.55,10.7,-5.47,2.4,-1.14,37.8,NON_CRASH
2026-08-21 11:11:36.474,0.11,-0.54,10.72,-5.27,2.12,-1.13,37.89,NON_CRASH
2026-08-21 11:11:36.484,0.09,-0.51,10.62,-5.41,2.25,-1.11,37.94,NON_CRASH
2026-08-21 11:11:36.494,0.1,-0.54,10.65,-5.39,2.31,-1.07,37.8,NON_CRASH
2026-08-21 11:11:36.505,0.14,-0.55,10.73,-5.13,2.3,-1.26,37.89,NON_CRASH
2026-08-21 11:11:36.515,0.12,-0.57,10.68,-5.37,2.48,-1.15,37.85,NON_CRASH
2026-08-21 11:11:36.525,0.14,-0.65,10.7,-5.15,2.43,-1.36,37.85,NON_CRASH
2026-08-21 11:11:36.535,0.1,-0.53,10.75,-5.27,2.04,-1.2,37.89,NON_CRASH
2026-08-21 11:11:36.545,0.11,-0.56,10.71,-5.37,2.37,-1.27,37.89,NON_CRASH
2026-08-21 11:11:36.555,0.12,-0.56,10.63,-5.47,2.18,-1.04,37.85,NON_CRASH
2026-08-21 11:11:36.565,0.06,-0.61,10.75,-5.4,2.02,-1.2,37.75,NON_CRASH
2026-08-21 11:11:36.575,0.07,-0.59,10.84,-5.34,2.36,-1.21,37.89,NON_CRASH
2026-08-21 11:11:36.585,0.09,-0.59,10.7,-5.28,2.17,-1.17,37.8,NON_CRASH
2026-08-21 11:11:36.595,0.11,-0.56,10.62,-5.24,2.26,-1.18,37.94,NON_CRASH
2026-08-21 11:11:36.605,0.1,-0.53,10.82,-5.2,2.18,-1.25,37.94,NON_CRASH
2026-08-21 11:11:36.615,0.1,-0.52,10.65,-5.18,2.26,-1.17,37.89,NON_CRASH
2026-08-21 11:11:36.625,0.09,-0.58,10.82,-5.41,2.31,-1.17,37.8,NON_CRASH
2026-08-21 11:11:36.635,0.1,-0.6,10.83,-5.21,2.31,-1.26,37.94,NON_CRASH
2026-08-21 11:11:36.645,0.08,-0.57,10.69,-5.26,2.34,-1.21,37.85,NON_CRASH
2026-08-21 11:11:36.655,0.11,-0.57,10.67,-5.12,2.35,-1.15,37.89,NON_CRASH
2026-08-21 11:11:36.665,0.12,-0.58,10.69,-5.37,2.17,-1.31,37.8,NON_CRASH
2026-08-21 11:11:36.676,0.06,-0.53,10.63,-5.33,2.27,-1.21,37.85,NON_CRASH
2026-08-21 11:11:36.686,0.13,-0.5,10.67,-5.4,2.08,-1.21,37.89,NON_CRASH
2026-08-21 11:11:36.696,0.1,-0.55,10.72,-5.27,2.21,-1.08,37.8,NON_CRASH
2026-08-21 11:11:36.706,0.1,-0.56,10.71,-5.38,2.3,-1.05,37.85,NON_CRASH
2026-08-21 11:11:36.716,0.1,-0.55,10.66,-5.21,2.28,-1.27,37.85,NON_CRASH
2026-08-21 11:11:36.726,0.07,-0.56,10.73,-5.42,2.22,-1.4,37.89,NON_CRASH
2026-08-21 11:11:36.736,0.13,-0.56,10.67,-5.21,2.2,-1.18,37.89,NON_CRASH
2026-08-21 11:11:36.746,0.07,-0.58,10.66,-5.34,2.4,-1.17,37.85,NON_CRASH
2026-08-21 11:11:36.756,0.18,-0.54,10.76,-5.34,2.28,-1.22,37.85,NON_CRASH
2026-08-21 11:11:36.766,0.11,-0.54,10.67,-5.34,2.28,-1.14,37.89,NON_CRASH
2026-08-21 11:11:36.776,0.09,-0.53,10.63,-5.46,2.33,-1.21,37.89,NON_CRASH
2026-08-21 11:11:36.786,0.09,-0.51,10.65,-5.4,2.42,-1.13,37.85,NON_CRASH
2026-08-21 11:11:36.796,0.08,-0.52,10.7,-5.31,2.41,-1.04,37.85,NON_CRASH
2026-08-21 11:11:36.806,0.08,-0.61,10.7,-5.19,2.26,-1.18,37.99,NON_CRASH
2026-08-21 11:11:36.816,0.07,-0.57,10.69,-5.28,2.02,-1.35,37.85,NON_CRASH
2026-08-21 11:11:36.826,0.0,-0.57,10.67,-5.27,2.29,-1.22,37.85,NON_CRASH
2026-08-21 11:11:36.837,0.01,-0.7,10.67,-5.3,2.35,-1.21,37.89,NON_CRASH
2026-08-21 11:11:36.847,0.08,-0.56,10.86,-5.45,2.24,-1.28,37.89,NON_CRASH
2026-08-21 11:11:36.857,0.09,-0.61,10.72,-5.53,2.28,-1.07,37.85,NON_CRASH
2026-08-21 11:11:36.867,0.08,-0.62,10.67,-5.21,2.34,-1.17,37.85,NON_CRASH
2026-08-21 11:11:36.877,0.1,-0.53,10.64,-5.3,2.37,-0.95,37.89,NON_CRASH
