Model,Accuracy,Macro Precision,Macro Recall,Macro F1-Score
XGBoost (Default),0.7079340743579916,0.6436558503509119,0.7059430591523203,0.6643867139924521
XGBoost (Tuned),0.8760061326178612,0.848756773766666,0.8150807405011385,0.8300979326402237
Random Forest,0.5950555768493676,0.6459109176367713,0.6967432458298882,0.6018294399453517
Extra Trees,0.41414334994250673,0.5888558984286464,0.5807382233547759,0.4483817309600764
Gradient Boosting,0.8390187811422001,0.7926477970234834,0.7852430159591441,0.7888428513381557
LightGBM,0.8729398236872364,0.828873966637181,0.8323027191140606,0.8302700495534562
CatBoost,0.7796090456113454,0.7182562720736024,0.7692000924892577,0.7393764088107847
MLP (Neural Network),0.8027980068991951,0.7594582002237145,0.7210556759948679,0.7370845856755839
SVC (SVM),0.7732847834419317,0.7219535511896892,0.7707710196999655,0.7389170673083169
K-Nearest Neighbors,0.8761977769260253,0.8546278055473476,0.7989653373530835,0.8236122855377103
Stacking Ensemble,0.8792640858566501,0.8168390863480609,0.8547454230209471,0.8329713821652819
Soft Voting Ensemble,0.8591414334994251,0.8202348044116802,0.8090191416856173,0.8133934378243813
